"","Band.ID","Tag","Year","Arrival.date","Site","Sex","Age.category","Age","Nest","Post.mass","Pre.mass","Mean.TS","Mean.wing","Color.manipulation.","B_avg.bright","B_hue","B_chroma","R_avg.bright","R_hue","R_chroma","T_avg.bright","T_hue","T_chroma","V_avg.bright","V_hue","V_chroma","Post.R_avg.bright","R.bright.treat.and.orig","soc.mate.ID.nest.1","soc.mate.tag.nest.1","nest.1","total.fecundity","attmpt.1.tot.pat","attmpt.2.tot.pat","total.paternity","n.unique.soc.partner.pre","max.cnt.soc.intx.pre","tot.cnt.soc.intx.pre","strength.pre","degree.pre"
"11","2600-54876","119",2015,122,"chr","f","asy",2,"33.2",22,19.75,76.5,116,NA,45.79047071,622.08,0.396088967,53.78478034,601.81,0.367442669,25.20417409,654.39,0.500408732,37.7401766,611.14,0.42240961,NA,53.78478034,"2600-27559","56","33",11,NA,NA,NA,16,14,50,50,16
"12","2600-54882","40",2015,131,"chr","f","asy",2,"24",19.5,17,81,118.6666667,NA,74.12091087,657.7566667,0.302338718,29.34412752,628.1366667,0.43846982,23.69595714,636.78,0.471260565,48.58940527,615.82,0.389274921,NA,29.34412752,"2600-54862","47","95",14,NA,NA,NA,7,10,19,19,7
"13","2600-54950","62",2015,134,"chr","f","asy",2,"103.2",17,16.5,82.33333333,115,NA,34.14569521,622.8033333,0.404137445,47.77818344,594.4566667,0.393320681,20.77200471,644.1066667,0.524153139,28.50676458,610.18,0.484457297,NA,47.77818344,"2640-97166","67","103",10,NA,NA,NA,10,10,31,31,10
"14","2600-54951","64",2015,122,"chr","f","asy",2,"29.2",18,19.25,78.33333333,116.6666667,NA,35.53536605,642.78,0.385968683,26.58479361,637.4633333,0.49614751,16.69608317,634.1333333,0.533273014,24.76832953,626.48,0.497522804,NA,26.58479361,"2600-27563","107","29",14,NA,NA,NA,16,14,52,52,16
"15","2640-97126","83",2015,NA,"chr","f","sy",1,"7.2",17.5,17.75,71,115,NA,43.51618261,617.43,0.401459253,36.34256067,611.3966667,0.426153739,47.8100469,596.7833333,0.394063235,33.02317693,601.45,0.440199773,NA,36.34256067,"1741-45723","45","7",11,NA,NA,NA,12,15,39,39,12
"16","2640-97167","105",2015,NA,"chr","f","sy",1,"85.2",17,17.5,75,111,NA,34.89786513,601.7466667,0.427620818,30.77962911,635.1333333,0.463196175,23.27455129,613.8066667,0.502678465,28.66114288,621.7866667,0.463326344,NA,30.77962911,"2640-97182","63","85",13,NA,NA,NA,18,20,63,63,18
"17","2640-97168","72",2015,NA,"chr","f","sy",1,"108",20,18.75,NA,121,NA,31.84181305,616.4833333,0.415763974,34.7121327,577.15,0.434665711,22.75700718,611.46,0.503865395,34.20893657,615.78,0.470075694,NA,34.7121327,"2640-97178","71","109",7,NA,NA,NA,21,12,55,55,21
"18","2640-97170","50",2015,NA,"chr","f","sy",1,"19.2",17.5,18.25,71.5,114,NA,46.89835253,575.19,0.356512996,37.9939364,612.1066667,0.417846125,23.38148474,599.15,0.507080754,35.32010065,607.1433333,0.438949382,NA,37.9939364,"2640-97177","76","111",8,NA,NA,NA,20,12,82,82,20
"19","2640-97171","70",2015,NA,"chr","f","sy",1,"88",21,20.5,73.5,116,NA,38.2327094,643.4066667,0.373569253,32.59574916,594.14,0.452015812,26.92252946,622.1233333,0.481433517,31.41890786,632.1166667,0.437110379,NA,32.59574916,"2640-97179","104","88",4,NA,NA,NA,6,29,62,62,6
"20","2640-97175","79",2015,NA,"chr","m","sy",1,NA,16.5,17.5,83.5,117,NA,32.96666617,599.4866667,0.423110127,54.3712891,633.0733333,0.321027944,26.44357136,613.1033333,0.472405343,29.38230362,610.18,0.455103435,NA,54.3712891,NA,NA,NA,NA,NA,NA,NA,10,4,20,20,10
"21","2640-97183","58",2015,NA,"chr","f","sy",1,"82.2",21.5,19.5,79.66666667,118,NA,37.72205183,593.655,0.415987479,44.978224,660.02,0.384489812,28.23806326,599.15,0.454303009,26.88184787,659.3933333,0.458247892,NA,44.978224,"2640-97153",NA,"82",11,NA,NA,NA,7,4,15,15,7
"22","2640-97184","65",2015,NA,"chr","f","sy",1,"56.2",20,17.25,76,115,NA,51.01836738,655.03,0.36683737,39.4977316,617.1033333,0.418737199,22.9244879,599.15,0.487111147,24.89408009,660.02,0.437340892,NA,39.4977316,"2591-02819","46","56",11,NA,NA,NA,17,13,55,55,17
"23","2640-97185","51",2015,NA,"chr","f","sy",1,"21.2",21,20.5,74.5,115,NA,47.37045952,627.1133333,0.359148854,45.0457124,627.1133333,0.38600446,38.49309381,603.79,0.418961819,30.96570172,660.02,0.421737854,NA,45.0457124,"2640-97172","114","21",8,NA,NA,NA,4,19,25,25,4
"24","2640-97186","124",2015,NA,"chr","f","sy",1,"22.2",NA,21.25,73,115,NA,43.26745051,643.4066667,0.340242128,49.88987765,611.1433333,0.372789666,21.74216999,627.4333333,0.482075047,37.0772462,643.4066667,0.411728135,NA,49.88987765,"2640-97181","44","22",7,NA,NA,NA,16,10,44,44,16
"25","2640-97187","53",2015,NA,"chr","f","sy",1,"84.2",17.5,18,69.5,114,NA,47.59230229,627.4333333,0.35722748,58.30871023,628.1366667,0.344774911,25.30413138,623.4366667,0.495823739,32.12533534,660.02,0.41708932,NA,58.30871023,"2640-97180","54","84",7,NA,NA,NA,17,13,41,41,17
"26","2640-97188","59",2015,NA,"chr","f","sy",1,"61.2",18,19.5,79.75,116.8333333,NA,42.85916875,643.7266667,0.380829774,42.44446119,627.4333333,0.388392186,28.05954348,629.1066667,0.494769141,30.34061042,643.7266667,0.441473942,NA,42.44446119,"1741-45779","82","19",4,NA,NA,NA,16,16,60,60,16
"27","2640-97189","81",2015,NA,"chr","f","sy",1,"67",19.5,16.5,75,118,NA,34.04554866,584.4633333,0.430019637,38.28990135,576.0233333,0.425252979,27.51887031,611.73,0.445468012,31.03462277,640.7333333,0.43297871,NA,38.28990135,"2600-27553","68","52",11,NA,NA,NA,8,15,27,27,8
"28","1741-45723","45",2015,NA,"chr","m","sy",1,"7.2",16.5,16.75,93.5,119,"y",39.60015941,582.7366667,0.409034052,36.35646069,619.0633333,0.439570892,26.97639576,580.42,0.383908104,35.18809598,599.4366667,0.404163361,23.52345118,23.52345118,"2640-97126","83","7",NA,3,3,8,16,15,42,42,16
"29","1741-45779","82",2015,NA,"chr","m","sy",1,NA,NA,15.75,92.58333333,118,"y",26.46270738,626.48,0.417852836,29.45276899,648.42,0.443458932,17.64080312,657.37,0.542712028,35.25635003,643.02,0.430708499,24.59175146,24.59175146,"2640-97188","59","19",NA,0,0,0,14,16,64,64,14
"30","1821-75105","60",2015,131,"chr","m","asy",3,"69.2",16.5,15.75,106.5,119.3333333,"y",38.74713337,626.7933333,0.375701471,32.71721182,610.18,0.447049439,17.38942601,643.0933333,0.490490747,33.3075747,660.02,0.437115164,24.1618302,24.1618302,"2640-97169","108","69",NA,5,5,16,13,5,23,23,13
"31","2391-90936","73",2015,88,"chr","m","asy",5,"74",16,16.5,97,117,"y",29.78820547,626.7933333,0.459231478,24.16006743,653.4133333,0.460262096,24.41479052,626.48,0.429025413,21.15761975,660.02,0.478383286,23.42505024,23.42505024,"2600-54977","49","6",NA,2,8,15,13,10,38,38,13
"32","2521-27354","112",2015,88,"chr","m","asy",4,"15",16,17,86.66666667,118,"n",23.25685562,643.4066667,0.460160978,27.59883709,649.3666667,0.474082169,32.90887982,611.4633333,0.446446458,19.00415994,643.0933333,0.481106338,NA,27.59883709,"2600-27796","125","66",NA,7,2,11,17,5,40,40,17
"33","2521-47978","77",2015,131,"chr","m","asy",2,"94.2",18.5,17.75,91.16666667,119,"n",47.87877883,609.7933333,0.372559258,35.18063333,616.14,0.470582325,28.13721649,619.1366667,0.502952894,42.14011417,610.18,0.403805684,NA,35.18063333,"2600-54703","128","94",NA,3,1,7,3,6,8,8,3
"34","2591-02819","46",2015,NA,"chr","m","asy",2,"56.2",15.5,16,85,117.5,"n",42.12925638,626.7933333,0.399637531,46.74942697,610.18,0.39299655,35.20157086,663.74,0.430353268,33.84993774,643.4066667,0.387617524,NA,46.74942697,"2640-97184","65","56",NA,7,2,11,15,13,40,40,15
"35","2600-27548","129",2015,122,"chr","m","asy",4,"41.2, 72",17,17.5,84,116,"y",19.58240169,632.4333333,0.502464989,33.48750392,616.14,0.439787979,18.87954744,641.7733333,0.505406623,30.39163529,626.7933333,0.435653264,22.91854064,22.91854064,"2600-27789, 2600-27791","35, 66","43, 77",NA,11,5,23,16,22,59,59,16
"36","2600-27553","68",2015,122,"chr","m","asy",4,"67",18,17.25,95.41666667,122.8333333,"n",30.3612664,659.7066667,0.398554387,28.09070462,616.14,0.471032686,31.50957703,606.18,0.42107594,28.71410599,643.4066667,0.4699851,NA,28.09070462,"2640-97189","81","52",NA,3,4,8,8,15,28,28,8
"37","2600-27559","56",2015,125,"chr","m","asy",4,"33.2",17,16,93,118,"n",30.12787348,602.0533333,0.453239687,28.09055366,579.1033333,0.458234654,14.77040506,683.3833333,0.505147358,23.88100628,612.8133333,0.496177983,NA,28.09055366,"2600-54876","119","33",NA,2,3,6,11,14,27,27,11
"38","2600-27563","107",2015,134,"chr","m","asy",4,"29.2",20.5,19,86.66666667,119.5,"n",22.81286914,642.78,0.447115015,23.88555049,634.4233333,0.490384326,18.32877453,682.45,0.520831266,18.88775865,675.0566667,0.510785242,NA,23.88555049,"2600-54951","64","29",NA,3,6,10,6,14,19,19,6
"39","2600-54743","106",2015,NA,"chr","m","asy",3,"61.2",17.5,16.75,91,119,"n",32.89283242,575.7133333,0.439320581,23.91351295,620.4233333,0.501175484,22.88889034,634.7766667,0.487050909,21.68178439,650.4333333,0.497142225,NA,23.91351295,"2640-97117","116","61",NA,2,10,12,13,3,21,21,13
"40","2600-54862","47",2015,131,"chr","m","asy",2,"24",17.5,17.25,99,120.1666667,"n",30.600444,600.1333333,0.427571441,28.16829945,601.4833333,0.458483644,24.30868186,622.4233333,0.475562433,34.84739192,598.0866667,0.435762419,NA,28.16829945,"2600-54882","40","95",NA,2,2,5,6,10,18,18,6
"41","2600-54874","115",2015,122,"chr","m","asy",2,"37",18,17,84.5,118.6666667,"n",29.80172509,620.0833333,0.438848327,34.61194909,651.1266667,0.435488836,21.78353181,619.81,0.489701946,23.70497443,613.4566667,0.511363292,NA,34.61194909,"2600-27800","52","79",NA,7,1,10,9,24,40,40,9
"42","2600-54949","74",2015,131,"chr","m","asy",2,"64",18,18.75,90.5,117,"y",39.43707878,599.49,0.399896176,35.49310866,657.7666667,0.421714346,15.28155857,671.77,0.546046599,20.9785364,642.78,0.503370157,10.07307777,10.07307777,"2600-54868","126","32",NA,6,3,9,17,5,58,58,17
"43","2600-54966","55",2015,NA,"chr","m","asy",2,"112",18,18.5,88.5,119.1666667,"n",23.66178785,657.7666667,0.455334753,32.65312519,624.7833333,0.418431472,11.77349593,684.4266667,0.549934924,23.59928242,661.4266667,0.471288416,NA,32.65312519,"2600-54704","80","90",NA,4,1,5,14,13,50,50,14
"44","2640-97166","67",2015,NA,"chr","m","sy",1,"103.2",15.5,15.5,81.5,116,"y",39.55697162,614.7366667,0.397508151,21.86632779,618.0666667,0.489785243,24.39507598,605.4766667,0.476409487,30.61370205,621.12,0.451574811,13.35328852,13.35328852,"2600-54950","62","103",NA,4,4,10,18,15,79,79,18
"45","2640-97172","114",2015,NA,"chr","m","sy",1,"21.2",17.75,18.5,92,121,"y",31.18680541,648.7033333,0.440977697,47.54391487,613.1066667,0.377064289,20.30191289,649.3666667,0.506579098,25.3900241,650.4266667,0.504229039,24.34301669,24.34301669,"2640-97185","51","21",NA,0,3,4,3,19,21,21,3
"46","2640-97173","110",2015,NA,"chr","m","sy",1,"100",17,18.75,83.33333333,119,"y",32.48808646,613.1333333,0.457166193,24.47819089,614.4433333,0.492713124,18.57208146,661.4133333,0.489669307,20.76218833,610.18,0.511272366,19.75518474,19.75518474,"2600-27560","42","26.2",NA,4,1,6,12,17,39,39,12
"47","2640-97176","61",2015,NA,"chr","m","sy",1,"55",16.5,16.25,90.5,116,"n",46.66055266,600.0866667,0.393440024,39.4042891,610.5,0.442506675,21.22068797,624.4133333,0.518707781,34.12521649,610.5,0.441185869,NA,39.4042891,"2600-27741","48","34",NA,2,2,5,11,20,65,65,11
"48","2640-97177","76",2015,NA,"chr","m","sy",1,"19.2",18,17.5,93,119.5,"n",39.09674044,610.5,0.440144233,38.7519793,613.08,0.442249797,16.96742208,660.02,0.533561767,40.42456535,598.8433333,0.395736956,NA,38.7519793,"2640-97170","50","111",NA,0,5,6,15,11,41,41,15
"49","2640-97178","71",2015,NA,"chr","m","sy",1,"108",16,15.5,73.5,115.5,"y",35.78227658,610.82,0.439591708,31.04128626,611.14,0.445779057,25.37294492,643.4066667,0.470266635,38.67322601,610.18,0.391108391,26.24201736,26.24201736,"2640-97168","72","109",NA,2,2,4,18,12,69,69,18
"50","2640-97179","104",2015,NA,"chr","m","sy",1,"88",16,16,93.83333333,118.8333333,"y",36.66811918,626.7933333,0.377658064,30.4876532,610.18,0.412151558,25.36251561,623.1133333,0.50366759,38.61241996,610.18,0.410501802,26.96556802,26.96556802,"2640-97171","70","88",NA,0,4,4,19,29,101,101,19
"51","2640-97180","54",2015,NA,"chr","m","sy",1,"84.2",16.75,16.5,83.58333333,115.8333333,"y",28.81644784,643.4066667,0.415588001,25.50193402,618.3866667,0.507574431,14.44737323,668.7666667,0.540899607,25.24591637,619.0633333,0.464596045,25.31452545,25.31452545,"2640-97187","53","84",NA,1,1,2,10,13,30,30,10
"52","2640-97181","44",2015,NA,"chr","m","sy",1,"22.2",18.5,17.75,82.58333333,118,"n",33.22881389,643.4066667,0.410884244,25.4131544,639.0333333,0.469979201,16.02658716,634.12,0.527168385,29.54850743,627.7566667,0.437177729,NA,25.4131544,"2640-97186","124","22",NA,0,1,2,12,10,30,30,12
"53","2640-97182","63",2015,NA,"chr","m","sy",1,"85.2",16.5,16,84,116.5,"y",46.02824069,628.4,0.407740281,60.50102938,612.04,0.350118649,25.83112702,635.7233333,0.467345796,21.65168665,643.7266667,0.519964411,32.54633701,32.54633701,"2640-97167","105","85",NA,5,0,5,3,4,7,7,3
